Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Professions and Professionalism,,1893-1049,English,Oslo and Akershus University College of Applied Sciences,No,CC BY,No
Energy Strategy Reviews,2211-467X,2211-4688,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Molecular Therapy: Nucleic Acids,,2162-2531,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Journal of Non-Crystalline Solids: X,,2590-1591,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Atmospheric Environment: X,,2590-1621,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Clinical Infection in Practice,,2590-1702,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Clinical Parkinsonism & Related Disorders,,2590-1125,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Results in Engineering,,2590-1230,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Applied Computing and Geosciences,,2590-1974,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Transportation Research Interdisciplinary Perspectives,,2590-1982,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
"Resources, Conservation & Recycling: X",,2590-289X,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Current Research in Structural Biology,,2665-928X,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Physics Open,,2666-0326,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Quaternary Science Advances,,2666-0334,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Medicine in Novel Technology and Devices,,2590-0935,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Basic & Applied Herpetology,2255-1468,2255-1476,"Portuguese, Spanish, English",Asociación Herpetológica Española,No,CC BY-NC-SA,No
Neurology International,,2035-8377,English,MDPI AG,Yes,CC BY,Yes
Egyptian Journal of Aquatic Research,1687-4285,,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Journal of Exercise Science & Fitness,1728-869X,,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Nuclear Engineering and Technology,1738-5733,,English,Elsevier,No,"CC BY, CC BY-NC-ND",No
China Journal of Accounting Research,1755-3091,2214-1421,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Central Bank Review,1303-0701,,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Journal of Rock Mechanics and Geotechnical Engineering,1674-7755,,English,Elsevier,No,"CC BY, CC BY-NC-ND",No
Rice Science,1672-6308,1876-4762,English,Elsevier,No,"CC BY, CC BY-NC-ND",No
Journal of Pharmacological Sciences,1347-8613,,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Asian Journal of Pharmaceutical Sciences,1818-0876,,English,Elsevier,No,"CC BY, CC BY-NC-ND",No
Sanat Tarihi Yıllığı,0579-4080,2717-6940,"English, Turkish, French, German",Istanbul University Press,No,CC BY-NC,No
Online Academic Journal of Information Technology,,1309-1581,"English, Turkish",Akademik Bilişim Araştırmaları Derneği,No,CC BY-SA,Yes
Gynecology Obstetrics & Reproductive Medicine,1300-4751,2602-4918,English,Medical Network,No,CC BY,No
[re]Design,,2764-9954,"Portuguese, English, Spanish",Editora IFMA,Yes,CC BY-NC,No
International Entrepreneurship Review,,2658-1841,English,Krakow University of Economics,No,CC BY,No
Menoufia Journal of Electronic Engineering Research,1687-1189,2682-3535,English,"Menoufia University, Faculty of Electronic Engineering",No,CC BY,Yes
Maǧallaẗ Kulliyyaẗ Al-Tarbiyyaẗ Bi-Dumyāṭ,1110-3930,2735-3303,Arabic,"Damietta University, Faculty of Education",No,CC BY-NC,Yes
Maǧallaẗ Kulliyyaẗ Al-Tarbiyyẗ Ǧamiʿaẗ Banhā,1110-2411,2682-3373,Arabic,"Banha University, Faculty of Education",No,CC BY-NC,No
Biuletyn Kryminologiczny,,2719-440X,"Polish, English",Instytut Nauk Prawnych PAN,No,CC BY,No
Al-Qadisiyah Journal for Engineering Science,1998-4456,2411-7773,English,University of Al-Qadisiyah,No,CC BY,Yes
Journal Africain de Technologie Pharmaceutique et Biopharmacie,,2756-7362,"English, French",Société Ouest Africaine de Pharmacie Galénique et Industrielle,No,CC BY,Yes
Аллергология и Иммунология в Педиатрии,2500-1175,2712-7958,Russian,Association of Paediatric Allergists and Immunologists of Russia (APAIR),No,CC BY-SA,No
СибСкрипт,2949-2122,2949-2092,"German, Italian, French, English, Russian",Kemerovo State University,Yes,CC BY,No
Journal of the South African Institution of Civil Engineers,1021-2019,2309-8775,English,South African Institution of Civil Engineering,No,CC BY-NC-ND,No
Salud UIS,0121-0807,2145-8464,"Portuguese, English, Spanish",Publicaciones UIS,No,CC BY,No
Fuzzy Information and Engineering,1616-8658,1616-8666,English,Tsinghua University Press,No,CC BY,No
Revista Española de Discapacidad,,2340-5104,"English, Spanish",Centro Español de Documentación e Investigación sobre Discapacidad (CEDID),No,CC BY-NC-ND,No
Precision Nanomedicine,,2639-9431,English,Andover House Inc.,No,CC BY-NC,No
Update Dental College Journal,2226-8715,2307-3160,English,Update Dental College,No,CC BY,No
InSight,1933-4850,1933-4869,English,Park University,No,CC BY-NC-ND,No
"Platform, a Journal of Engineering",,2636-9877,English,UTP Press,No,CC BY,No
Bioengineering,,2306-5354,English,MDPI AG,No,CC BY,Yes
Biology,,2079-7737,English,MDPI AG,No,CC BY,Yes
CQD Revista Eletrônica Paulista de Matemática,,2316-9664,Portuguese,UNESP,No,CC BY,No
Jurnal Agrisep,1412-8837,2579-9959,English,BPFP Universitas Bengkulu,No,CC BY-SA,Yes
Kontinu: Jurnal Penelitian Didaktik Matematika,2715-7326,2656-5544,"Indonesian, English",Universitas Islam Sultan Agung,No,CC BY,No
Oditor,2217-401X,2683-3476,"English, Serbian","Center for Economic and Financial Research, Belgrade",No,CC BY,Yes
The Teaching of Mathematics,1451-4966,2406-1077,"English, German, Russian",Mathematical Society of Serbia,No,CC BY,No
Revista RELAYN Micro y Pequeña Empresa en Latinoamérica,,2594-1674,"Spanish, English",iQuatro Editores,No,CC BY-NC-ND,No
Revista Relep Educación y Pedagogía en Latinoamérica,,2594-2913,"English, Spanish",iQuatro Editores,No,CC BY-NC-ND,No
Ocnos,1885-446X,2254-9099,"English, Portuguese, Spanish","Universidad de Castilla, La Mancha",No,CC BY-NC-ND,No
Cells,,2073-4409,English,MDPI AG,No,CC BY,Yes
Revista Española de Quimioterapia,0214-3429,1988-9518,"English, Spanish",Sociedad Española de Quimioterapia,No,CC BY-NC,No
Drugs and Drug Candidates,,2813-2998,English,MDPI AG,No,CC BY,Yes
Journal of Kufa for Mathematics and Computer,2076-1171,2518-0010,English,"Faculty of Computer Science and Mathematics, University of Kufa",No,CC BY,Yes
Közigazgatási és Infokommunikációs Jogi PhD Tanulmányok,,2732-0731,"English, Hungarian",Tudatosan a Környezetünkért Egyesület,No,CC BY-NC-SA,No
Islamic Guidance and Counseling Journal,,2614-1566,English,Institut Agama Islam Ma'arif NU (IAIMNU) Metro Lampung,Yes,CC BY-SA,Yes
Indonesian Journal of Anesthesiology and Reanimation (IJAR),2722-4554,2686-021X,English,"Universitas Airlangga, Faculty of Medicine",No,CC BY-SA,No
SFU Educational Review,,1916-050X,English,Simon Fraser University Library,No,CC BY-NC,No
Folia Neuropathologica,1641-4640,1509-572X,English,Termedia Publishing House,No,CC BY-NC-SA,Yes
Revista de Drept Constituţional,2457-8754,2810-1979,English,Universul Juridic,No,CC BY-NC-ND,No
Black Book,,2184-8653,English,AP2,No,CC BY-NC,Yes
Journal of Contemporary Brachytherapy,1689-832X,2081-2841,English,Termedia Publishing House,No,CC BY-NC-SA,Yes
Swedish Journal of Romanian Studies,,2003-0924,"Romanian, English, French, Spanish, Italian","Centre for Languages and Literature, Lund University",No,CC BY-NC,No
Upsala Journal of Medical Sciences,0300-9734,2000-1967,English,Upsala Medical Society,No,CC BY,Yes
Studi Arab,2086-9932,2502-616X,"English, Arabic, Indonesian",Universitas Yudharta Pasuruan,Yes,CC BY-SA,Yes
Access to Justice in Eastern Europe,2663-0575,2663-0583,English,VD Dakor,No,CC BY-NC,Yes
Alkimia: Jurnal Ilmu Kimia dan Terapan,2580-9873,2580-9881,"English, Indonesian","Universitas Islam Negeri Raden Fatah Palembang, Fakultas Sains dan Teknologi",No,CC BY-SA,Yes
Derrotero,2027-0658,2590-4701,Spanish,Escuela Naval de Cadetes Almirante Padilla (ENAP),No,CC BY-NC-SA,No
Crisia,1016-2798,,"German, French, Italian, English, Romanian",Țării Crișurilor Museum Publishing House,No,CC BY-NC-ND,No
Journal of the Geological Survey of Brazil,,2595-1939,English,Serviço Geológico do Brasil (CPRM),Yes,CC BY,No
International Journal of Plant Based Pharmaceuticals,,2791-7509,English,Bektas Tepe,No,CC BY,No
Cadernos de Astronomia,,2675-4754,"English, Spanish, Portuguese",Universidade Federal do Espírito Santo,No,CC BY,No
E|C,1973-2716,1970-7452,"Spanish, French, English, Italian",Mimesis Edizioni,No,CC BY,No
Pharmacoepidemiology,,2813-0618,English,MDPI AG,No,CC BY,Yes
Chips,,2674-0729,English,MDPI AG,No,CC BY,Yes
Agrochemicals,,2813-3145,English,MDPI AG,No,CC BY,Yes
Byzantion Nea Hellás,0716-2138,0718-8471,"French, Modern Greek (1453-), English, Portuguese, Spanish",Universidad de Chile,No,CC BY-NC-ND,No
Türkiye Tarımsal Araştırmalar Dergisi,2148-2306,2528-858X,"English, Turkish",Siirt University,No,CC BY-NC-ND,No
Mağallaẗ muʾaššir li-l-dirāsāt al-istiṭlāʿiyyaẗ,,2701-9233,"French, English, Arabic","the Democratic Arab Center for Strategic, Political and Economic Studies",No,CC BY,No
Acta Otorhinolaryngologica Italica,0392-100X,1827-675X,English,Pacini Editore Srl,No,CC BY-NC-ND,Yes
Motricidad,0214-0071,2172-2862,English,Asociación Española de Ciencias del Deporte,No,Publisher's own license,No
European Journal of Human Movement,,2386-4095,English,Asociación Española de Ciencias del Deporte,No,CC BY-NC-ND,No
Journal of Clinical and Health Sciences,,0127-984X,English,UiTM Press,No,"CC BY, CC BY-NC-ND",No
Religious Inquiries,2322-4894,2538-6271,English,University of Religions and Denominations Press,No,CC BY,No
Linguistic Typology at the Crossroads,,2785-0943,English,University of Bologna,No,CC BY,No
Studia et Documenta,1970-4879,,"English, Spanish, Italian, French, German",Istituto Storico San Josemaría Escrivá,No,CC BY-NC-ND,No
Parole Rubate,,2039-0114,"Spanish, Italian, French, English",Nicola Catelli - Corrado Confalonieri,No,CC BY-NC,No
Sound Stage Screen,,2784-8949,English,Milano University Press,No,CC BY,No
Cahiers d’études des cultures ibériques et latino-américaines,,2428-7245,"Spanish, Portuguese, French, English",IRIEC – Université Paul-Valéry Montpellier 3,No,CC BY-NC,No
Радіоелектронні і комп'ютерні системи,1814-4225,2663-2012,"English, Ukrainian",National Aerospace University «Kharkiv Aviation Institute»,No,CC BY-NC,Yes
Saeculum Christianum,1232-1575,2720-0515,"German, Spanish, Italian, English, Polish",Cardinal Stefan Wyszynski University Press,No,CC BY-ND,No
Scandinavian Journal of Work and Organizational Psychology,,2002-2867,English,Stockholm University Press,No,CC BY,Yes
Scandinavian Journal of Disability Research,,1745-3011,English,Stockholm University Press,No,CC BY,Yes
Journal of Home Language Research,,2537-7043,English,Stockholm University Press,No,CC BY,Yes
"Tellus: Series A, Dynamic Meteorology and Oceanography",,1600-0870,English,Stockholm University Press,No,CC BY,Yes
"Tellus: Series B, Chemical and Physical Meteorology",,1600-0889,English,Stockholm University Press,No,CC BY,Yes
EGA,1133-6137,2254-6103,Spanish,Universitat Politècnica de València,No,CC BY-NC-ND,No
Con A de Animación,2173-6049,2173-3511,Spanish,Universitat Politècnica de València,No,CC BY-NC-SA,No
Pan-American Journal of Mathematics,,2832-4293,English,Mathyze Publishers,No,CC BY,No
Science & Research,,2535-0765,English,Union of Scientists - Stara Zagora,No,CC BY-NC,Yes
The EUROCALL Review,,1695-2618,English,Universitat Politècnica de València,No,CC BY-NC-ND,No
Modelling in Science Education and Learning,,1988-3145,"Spanish, Portuguese, English",Universitat Politècnica de València,No,CC BY-NC,No
Kafkas Universitesi Veteriner Fakültesi Dergisi,,1309-2251,English,"Kafkas University, Faculty of Veterinary Medicine",No,CC BY-NC,No
Journal of Internet and Digital Economics,2752-6356,2752-6364,English,Emerald Publishing,No,CC BY,No
Journal of Internet Services and Applications,1867-4828,1869-0238,English,Brazilian Computing Society (SBC),Yes,CC BY-NC,No
Volksgeist,2615-174X,2615-5648,"English, Indonesian",Faculty of Sharia UIN Prof. K.H. Saifuddin Zuhri Purwokerto,No,CC BY-SA,Yes
Advances in Bamboo Science,,2773-1391,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Navigation,,2161-4296,English,Institute of Navigation,No,CC BY,Yes
Transcultural Journal of Humanities and Social Sciences,2636-4239,2636-4247,"Arabic, English",Badr University in Cairo,No,CC BY,Yes
Egyptian Journal of Plant Breeding,1110-7863,2735-3885,English,Egyptian Society of Plant Breeding,No,CC BY,No
Assimilation,,2621-7260,"English, Indonesian","Department of Biology Education, Universitas Pendidikan Indonesia",No,CC BY-SA,Yes
JI-KES (Jurnal Ilmu Kesehatan),,2579-7913,"English, Indonesian",LPPM Stikes Hafshawaty Zainul Hasan,No,CC BY-NC-SA,Yes
Scandinavian Journal of Public Administration,2001-7405,2001-7413,English,University of Gothenburg,No,CC BY-NC,No
วารสารวิทยาการสารสนเทศและเทคโนโลยีประยุกต์,2630-094X,2586-8136,"Thai, English",Faculty of Informatics,No,CC BY-NC-ND,No
Green Energy and Intelligent Transportation,,2773-1537,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
International Review of Social Sciences Research,2782-9227,2782-9235,English,Institute of Industry and Academic Research Incorporated,No,CC BY,Yes
International Journal of Health Policy and Management,,2322-5939,English,Kerman University of Medical Sciences,No,CC BY,Yes
Al-Azhar Journal of Pediatrics,1110-7774,,English,"Al-Azhar University, Al-Azhar Pediatric Society",No,CC BY,No
"International Journal of Science, Technology, Engineering and Mathematics",2799-1601,2799-161X,English,Institute of Industry and Academic Research Incorporated,No,CC BY,Yes
Waste,,2813-0391,English,MDPI AG,No,CC BY,Yes
Tazkiya Journal of Psychology,2829-4904,2654-7244,"English, Indonesian",Fakultas Psikologi UIN Syarif Hidayatullah Jakarta,No,CC BY-SA,No
Högre Utbildning,,2000-7558,"Norwegian Bokmål, Danish, English, Swedish",Cappelen Damm Akademisk NOASP,Yes,CC BY,No
Revista de História,0034-8309,2316-9141,"Portuguese, English, Spanish, French",Universidade de São Paulo,No,CC BY-NC,No
Meluzyna: dawna literatura i kultura,2449-7339,,"German, Polish, English, Russian",Łódzkie Towarzystwo Naukowe,No,CC BY-SA,No
Pulso: Revista de Educación,1577-0338,2445-2866,"Spanish, English",Centro Universitario Cardenal Cisneros,No,CC BY-NC-ND,No
Portugaliae Mathematica,0032-5155,1662-2758,English,EMS Press,No,CC BY,No
Journal of Information Architecture,,1903-7260,English,Journal of Information Architecture,No,CC BY-NC-ND,No
Barn,,2535-5449,"Norwegian Bokmål, Norwegian Nynorsk, Swedish, Danish, English",Cappelen Damm Akademisk NOASP,Yes,CC BY,Yes
Veterinary Integrative Sciences,,2629-9968,English,"Faculty of Veterinary Medicine, Chiang Mai University",No,CC BY,No
Expert Review of Vaccines,1476-0584,1744-8395,English,Taylor & Francis Group,No,"CC BY, CC BY-NC",Yes
Nordic Journal of Art and Research,,2535-7328,"Swedish, Norwegian Bokmål, English",OsloMet — Oslo Metropolitan University,No,CC BY,No
InFormation: Nordic Journal of Art and Research,,1893-2479,"Swedish, English, Norwegian Bokmål",Oslo and Akershus University College of Applied Sciences,No,CC BY,No
Tidsskriftet FoU i Praksis,1504-6893,1890-6990,Norwegian,Fagbokforlaget,No,CC BY-NC,Yes
Nuclear Energy and Technology,,2452-3038,English,National Research Nuclear University (MEPhI),Yes,CC BY,No
Social Entrepreneurship Review,,2720-7277,English,Cracow University of Economics,No,CC BY-ND,No
Cambridge Prisms: Coastal Futures,,2754-7205,English,Cambridge University Press,No,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC, CC BY-NC-SA, CC BY-NC-ND",Yes
Cambridge Prisms: Precision Medicine,,2752-6143,English,Cambridge University Press,No,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC, CC BY-NC-SA, CC BY-NC-ND",Yes
Compiler,2252-3839,2549-2403,"English, Indonesian",Institut Teknologi Dirgantara Adisutjipto,No,CC BY,Yes
UCV-Scientia,2077-172X,2410-891X,Spanish,Universidad César Vallejo,No,CC BY-NC,No
Etikk i Praksis: Nordic Journal of Applied Ethics,1890-3991,1890-4009,"Swedish, English, Danish, Norwegian Bokmål",Norwegian University of Science and Technology Library,No,CC BY,Yes
Forensic Sciences Research,2096-1790,2471-1411,English,Oxford University Press,No,"CC BY, CC BY-NC",No
Happiness: Journal of Psychology and Islamic Science,2580-0671,,"Indonesian, English","Institut Agama Islam Negeri Kediri, Indonesia",No,CC BY-SA,No
Asian Journal for Mathematics Education,,2752-7271,English,SAGE Publishing,No,CC BY-NC,No
Norsk Litteraturvitenskapelig Tidsskrift,0809-2044,1504-288X,"Swedish, Norwegian Nynorsk, Danish, Norwegian Bokmål",Scandinavian University Press/Universitetsforlaget,No,CC BY,No
Studia Musicologica Norvegica,0332-5024,1504-2960,"Norwegian Bokmål, English, Norwegian Nynorsk",Scandinavian University Press (Universitetsforlaget),No,CC BY,Yes
Norsk Statsvitenskapelig Tidsskrift,0801-1745,1504-2936,Norwegian Bokmål,Scandinavian University Press (Universitetsforlaget),No,CC BY,No
Tidsskrift for Omsorgsforskning,2387-5976,2387-5984,Norwegian,Scandinavian University Press (Universitetsforlaget),No,CC BY,No
Superconductivity,,2772-8307,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Cleaner Energy Systems,,2772-7831,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Surgery Open Digestive Advance,,2667-0089,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Cleaner and Circular Bioeconomy,,2772-8013,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Cleaner Waste Systems,,2772-9125,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Recital Review,2622-5891,2623-2928,"English, Indonesian",Universitas Jambi,No,CC BY,Yes
Søkelys på Arbeidslivet,1504-8004,1504-7989,"Norwegian Nynorsk, Norwegian Bokmål",Universitetsforlaget,No,CC BY,No
Barnelitterært Forskningstidsskrift,,2000-7493,"Danish, Swedish, Norwegian, English",Scandinavian University Press/Universitetsforlaget,No,CC BY,No
Kunst og Kultur,0023-5415,1504-3029,"Norwegian Nynorsk, Norwegian Bokmål",Scandinavian University Press/Universitetsforlaget,No,CC BY,No
Norsk Medietidsskrift,0804-8452,0805-9535,"Norwegian Nynorsk, English, Norwegian Bokmål",Universitetsforlaget,No,CC BY,No
Korea Journal,0023-3900,2733-9343,English,The Academy of Korean Studies Press,No,"CC BY-ND, CC BY-NC-ND",No
Jurnal Hukum Islam,1829-7382,2502-7719,"Indonesian, English","Sharia Faculty, Universitas Islam Negeri KH. Abdurrahamn Wahid Pekalongan",No,CC BY-NC,Yes
RUHS Journal of Health Sciences,2456-8309,2582-3590,English,Sonali Sharma on behalf of Rajasthan University of Health Sciences,No,CC BY-NC-ND,No
Acta Paulista de Enfermagem,,1982-0194,"Portuguese, English","Escola Paulista de Enfermagem, Universidade Federal de São Paulo",No,CC BY,Yes
Tidsskrift for velferdsforskning,0809-2052,2464-3076,"Norwegian Nynorsk, Danish, Norwegian Bokmål, Swedish",Universitetsforlaget,No,CC BY,No
Jurnal Manajemen dan Profesional,,2775-5967,Indonesian,Institut Teknologi dan Bisnis Asia Malang,No,CC BY,Yes
"Journal of Educational Research on Children, Parents & Teachers",2664-3804,2664-3812,English,African Educational Research and Development Foundation,No,CC BY,Yes
Nordic Journal of Information Literacy in Higher Education,,1890-5900,"English, Norwegian Bokmål",University of Bergen,No,CC BY-NC,No
Растениевъдни науки,0568-465X,2534-9848,"Bulgarian, English",Agricultural academy,No,CC BY,No
Civil Engineering Journal,,1805-2576,English,"Czech Technical University, Prague",No,CC BY,No
Trakya Üniversitesi İktisadi ve İdari Bilimler Fakültesi E-Dergi,,2147-2483,"Turkish, English",Trakya University,No,CC BY,No
QhaliKay,,2588-0608,"Spanish, English",Universidad Técnica de Manabí,No,CC BY-NC-SA,No
"Scientific Papers of the University of Pardubice. Series D, Faculty of Economics and Administration",,1804-8048,English,University of Pardubice,No,CC BY,Yes
Drepturile Omului,1220-613X,2668-9499,"English, Romanian",Institutul Român pentru Drepturile Omului,No,CC BY-NC-SA,No
Revue Roumaine d’Etudes Francophones,2065-8087,2392-6007,French,Junimea,No,CC BY-NC-ND,No
Penalmente Relevant,,2501-1367,"English, Romanian",Editura Solomon,No,CC BY-NC,No
"Analele Ştiinţifice ale Universităţii ""Al.I. Cuza"" din Iaşi. Ştiinţe Juridice",1221-8464,2537-3048,"Romanian, English, French",Editura Universității „Alexandru Ioan Cuza” din Iași,No,CC BY,No
Forum Juridic,,2734-7524,"French, English, Romanian","Faculty of Law, University of Bucharest",No,CC BY-NC,No
Peuce,0258-8102,,"English, French, Romanian",Institutul de Cercetari Eco-Muzeale ”Gavrila Simion”,No,CC BY-NC-ND,No
Revista Universitară de Sociologie,,2537-5024,English,Beladi,No,CC BY-NC,No
Noua Revistă de Drepturile Omului,1841-4710,2734-7567,"Romanian, English, French",Centrul de Studii Internaţionale,No,CC BY,No
Annales Universitatis Apulensis. Series Economica,1454-9409,2344-4975,English,Aeternitas Publishing House,No,CC BY-NC,Yes
Cultural Perspectives,1224-239X,2559-3439,English,"Alma Mater Publishing House ""Vasile Alecsandri"" University of Bacau",No,CC BY,No
"Вестник КазНУ. Серия математика, механика, информатика",1563-0277,2617-4871,"English, Russian, Kazakh",Al-Farabi Kazakh National University,No,CC BY-NC,Yes
Halyk̦aralyk̦ k̦atynastar ža̋ne halyk̦aralyk̦ k̦u̇k̦yk̦ seriâsì,1563-0285,2618-1215,"German, French, English, Russian, Kazakh",Al-Farabi Kazakh National University,No,CC BY-NC,Yes
Хабаршы. Психология және социология сериясы,2617-7544,2617-7552,"Kazakh, Russian, English",Al-Farabi Kazakh National University,No,CC BY-NC,Yes
Interdisciplinary Approaches to Medicine,2709-2968,2709-2976,English,Al-Farabi Kazakh National University,No,CC BY-NC,Yes
Анали Филолошког факултета,0522-8468,2787-1037,"Serbian, English, French, Spanish, German","Faculty of Philology, University of Belgrade",No,CC BY-SA,No
Primenjena Psihologija,1821-0147,2334-7287,"Bosnian, Croatian, Serbian, English","Faculty of Philosophy, University of Novi Sad",No,CC BY,No
Physical Sciences and Technology,2409-6121,2522-1361,English,Al-Farabi Kazakh National University,No,CC BY-NC,No
Экономика: стратегия и практика,1997-9967,2663-550X,"Kazakh, Russian, English",Institute of Economics under the Science Committee of Ministry of Education and Science RK,No,CC BY-NC,Yes
Хабаршысы. Экономика сериясы,1563-0358,2617-7161,"Russian, Kazakh, English",Al-Farabi Kazakh National University,No,CC BY-NC,Yes
Western Balkan Journal of Agricultural Economics and Rural Development,2683-4693,2683-572X,English,"Institute of Agricultural Economics, Belgrade",No,CC BY-SA,No
European Journal of Social Impact and Circular Economy,,2704-9906,English,University of Turin,No,CC BY,No
World Cancer Research Journal,,2372-3416,English,Verduci Editore,No,CC BY-NC-SA,No
Infectious Diseases and Tropical Medicine,,2379-4054,English,Verduci Editore,No,CC BY-NC-SA,No
Wrocławski Rocznik Historii Mówionej,2084-0578,,"Polish, English","Ośrodek ""Pamięć i Przyszłość"" - ""Remembrance and Future"" Centre",No,CC BY-SA,No
"Annales Universitatis Mariae Curie-Skłodowska. Sectio K, Politologia",1428-9512,2300-7567,"German, Russian, French, English, Polish","Maria Curie-Skłodowska University, Lublin, Poland",No,CC BY,No
Forum Bibliotek Medycznych,1899-5829,2450-0437,"Polish, English",Medical University of Warsaw,No,CC BY-NC-ND,No
Studia Semiotyczne,0137-6608,2544-073X,"English, Polish",Polskie Towarzystwo Semiotyczne / The Polish Semiotic Society,No,CC BY,No
InterAlia,,1689-6637,"English, Polish, Spanish",Ośrodek Studiów Amerykańskich Uniwersytetu Warszawskiego,No,CC BY,No
Zoophilologica,2719-2687,2451-3849,"Russian, English, Polish",University of Silesia Press,No,CC BY-SA,No
Er(r)go,1508-6305,2544-3186,"English, Polish",University of Silesia Press,No,CC BY-SA,No
Zwitscher-Maschine,,2297-6809,"German, English",Zwitscher-Maschine,No,CC BY-NC-ND,No
Satellite Navigation,2662-9291,2662-1363,English,SpringerOpen,No,CC BY,No
Journal of Remote Sensing,,2694-1589,English,American Association for the Advancement of Science (AAAS),No,CC BY,No
Conflict and Society,2164-4543,2164-4551,English,Berghahn Books,No,"CC BY, CC BY-ND, CC BY-NC-ND",No
Cyborg and Bionic Systems,,2692-7632,English,American Association for the Advancement of Science (AAAS),No,CC BY,No
Environment and Society,2150-6779,2150-6787,English,Berghahn Books,No,"CC BY, CC BY-ND, CC BY-NC-ND",No
Caribbean Quilt,1925-5829,1929-235X,English,Caribbean Studies Students' Union,No,CC BY-SA,No
Captures,,2371-1930,"French, English","Figura, Centre de recherche sur le texte et l'imaginaire",No,CC BY-NC-ND,No
Revue des Énergies Renouvelables,1112-2242,2716-8247,"French, English",Renewable Energy Development Center (CDER),No,CC BY-SA,No
Discourse and Writing/Rédactologie,,2563-7320,"French, English",Canadian Association for the Study of Discourse and Writing,No,CC BY-SA,No
Journal of Effective Teaching in Higher Education,,2578-7608,English,University of North Carolina Wilmington,No,CC BY-NC-ND,No
Annals of 3D Printed Medicine,,2666-9641,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Mechanics & Industry,2257-7777,2257-7750,English,EDP Sciences,Yes,CC BY,Yes
Journal of Liver Transplantation,,2666-9676,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
International Journal of Maritime Technology,2345-6000,2476-5333,English,Iranian Association of Naval Architecture and Marine Engineering,No,CC BY-NC,No
علوم و مهندسی آب و فاضلاب,,2588-395X,Persian,Iran Water and Wastewater Association,No,CC BY,Yes
مجله جنگل ایران,2008-6113,2423-4435,Persian,Iranian Society of Forestry,No,CC BY,Yes
Avicenna Journal of Medical Biochemistry,,2345-4113,English,Hamadan University of Medical Sciences,No,CC BY,No
Function and Disability Journal,,2588-6304,English,Iran University of Medical Sciences,No,CC BY-NC-SA,No
پژوهش‌های بین‌رشته‌ای ادبی,,2717-3224,"English, Persian",Institute for Humanities & Cultural Studies,No,CC BY,No
Journal of Genetic Resources,2423-4257,2588-2589,English,University of Mazandaran,No,CC BY,No
Current Journal of Neurology,,2717-011X,English,Tehran University of Medical Sciences,No,CC BY-NC,No
خانواده و پژوهش,2676-6728,2783-0586,Persian,The Academy of Scientific Studies in Education,No,CC BY,No
زبان و ادب فارسی,2251-7979,2676-6779,"Arabic, Avestan, Persian",University of Tabriz,No,CC BY-NC,Yes
هیدروژئومورفولوژی,2383-3254,2676-4571,Persian,University of Tabriz,No,CC BY-NC,Yes
Traditional and Integrative Medicine,2476-5104,2476-5112,English,Tehran University of Medical Sciences,No,CC BY-NC,No
Journal of Orthopedic and Spine Trauma,2538-2330,2538-4600,English,Tehran University of Medical Sciences,No,CC BY-NC,No
"Infection, Epidemiology and Microbiology",2588-4107,2588-4115,English,University of Tarbiat Modares,No,CC BY-NC,No
Journal of Food and Bioprocess Engineering,,2676-3494,English,University of Tehran,No,CC BY,No
Journal of Zoonotic Diseases,,2717-2910,English,University of Tabriz,No,CC BY-NC,No
Health Technology Assessment in Action,,2645-3835,English,Tehran University of Medical Sciences,No,CC BY-NC,No
